Feature,Pre,Post,p_value
emotion (happy:sad),3/3 (1.00),3/2 (1.50),1.0000
gender (ref=female),3/7 (0.43),4/6 (0.67),0.5921
adult_kid (ref=adult),3/7 (0.43),4/6 (0.67),0.5921
duration_seconds,171.180 (102.284),192.453 (112.010),0.9452
f0_min_hz,78.127 (4.860),75.905 (1.446),0.2949
f0_max_hz,392.551 (9.448),392.368 (16.803),0.2343
pitch_range_hz,314.423 (8.929),316.465 (16.990),0.1375
mean_pitch_hz,226.383 (31.429),232.430 (21.158),0.9452
pitch_variability_hz,37.221 (9.693),43.883 (7.778),0.2343
phonation_time_ratio,0.536 (0.057),0.560 (0.059),0.5338
syllable_rate,5.457 (0.447),6.047 (0.749),0.1935
